committee_id,committee_name,committee_code,datum_van,datum_van_samenstelling,ministers,disclaimer
1832481,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",FIN,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,"Matthias Diependaele, Ben Weyts, Zuhal Demir",
1832493,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",ECO,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,"Matthias Diependaele, Zuhal Demir, Hilde Crevits",
1832492,"Commissie voor Cultuur, Jeugd, Sport en Media",CUL,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,"Caroline Gennez, Hans Bonte, Annick De Ridder, Cieltje Van Achter",
1832489,Commissie voor Binnenlands Bestuur en Inburgering,BIN,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Hilde Crevits,
1832490,Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn,BRU,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,"Cieltje Van Achter, Ben Weyts",
1832491,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",BUI,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Matthias Diependaele,
1832496,Commissie voor Mobiliteit en Openbare Werken,OPE,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Annick De Ridder,
1832499,"Commissie voor Wonen, Toerisme, Energie en Klimaat",WON,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Hans Bonte,
1832495,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",LEE,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Jo Brouns,
1832497,Commissie voor Onderwijs,OND,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Zuhal Demir,
1832494,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",LAN,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,"Hilde Crevits, Jo Brouns",
1832498,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",WEL,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,Caroline Gennez,
1832500,Commissie voor Reglement en Samenwerking,REG,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1832503,Deontologische Commissie,DEO,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1832505,Vlaamse Opvolgingscommissie voor de Vermogens- en Mandatenaangifte,MAN,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1832501,Commissie voor de Vervolgingen,VER,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1832502,Controlecommissie voor Regeringsmededelingen,MED,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1832504,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,UIT,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1832506,Interparlementaire Commissie van de Nederlandse Taalunie,IPC,2024-10-09T00:00:00+0200,2026-06-27T09:28:05+0200,,
1829647,Commissie voor de geloofsbrieven voor de kieskring Brussel,GBB,2024-07-02T14:35:00+0200,2024-07-02T17:30:59+0200,,
1829775,Commissie ad hoc,AH,2024-07-04T14:00:00+0200,2024-10-09T16:44:59+0200,,
