fractie_id,member_id,volledige_naam,voornaam,naam,kieskring,zetel,deelstaatsenator,is_huidige_vv,self_opendata_url,fotowebpath
1829396,4650,Inge Brocken,Inge,Brocken,Kieskring Oost-Vlaanderen,117,False,J,https://ws.vlpar.be/e/opendata/vv/4650?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065573
1829396,4658,Jurgen Callaerts,Jurgen,Callaerts,Kieskring Antwerpen,114,False,J,https://ws.vlpar.be/e/opendata/vv/4658?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2068975
1829396,4657,Mieke Claes,Mieke,Claes,Kieskring Limburg,116,False,J,https://ws.vlpar.be/e/opendata/vv/4657?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2068977
1829396,4444,Arnout Coel,Arnout,Coel,Kieskring Vlaams-Brabant,50,True,J,https://ws.vlpar.be/e/opendata/vv/4444?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1487407
1829396,4070,Koen Daniëls,Koen,Daniëls,Kieskring Oost-Vlaanderen,35,False,J,https://ws.vlpar.be/e/opendata/vv/4070?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1490202
1829396,4613,Gijs Degrande,Gijs,Degrande,Kieskring West-Vlaanderen,89,False,J,https://ws.vlpar.be/e/opendata/vv/4613?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2075177
1829396,4659,Manu Diericx,Manu,Diericx,Kieskring Oost-Vlaanderen,113,True,J,https://ws.vlpar.be/e/opendata/vv/4659?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2082476
1829396,4615,Koen Dillen,Koen,Dillen,Kieskring Antwerpen,91,False,J,https://ws.vlpar.be/e/opendata/vv/4615?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065118
1829396,4399,Karolien Grosemans,Karolien,Grosemans,Kieskring Limburg,17,False,J,https://ws.vlpar.be/e/opendata/vv/4399?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482465
1829396,4077,Andries Gryffroy,Andries,Gryffroy,Kieskring Oost-Vlaanderen,68,True,J,https://ws.vlpar.be/e/opendata/vv/4077?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1964484
1829396,3445,Marc Hendrickx,Marc,Hendrickx,Kieskring Antwerpen,111,True,J,https://ws.vlpar.be/e/opendata/vv/3445?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2130575
1829396,4738,An Hermans,An,Hermans,Kieskring Antwerpen,112,False,J,https://ws.vlpar.be/e/opendata/vv/4738?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2113527
1829396,3411,Liesbeth Homans,Liesbeth,Homans,Kieskring Antwerpen,4,False,J,https://ws.vlpar.be/e/opendata/vv/3411?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482514
1829396,4618,Katrien Houtmeyers,Katrien,Houtmeyers,Kieskring Vlaams-Brabant,33,False,J,https://ws.vlpar.be/e/opendata/vv/4618?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2070073
1829396,4078,Sofie Joosen,Sofie,Joosen,Kieskring Antwerpen,51,False,J,https://ws.vlpar.be/e/opendata/vv/4078?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478804
1829396,4622,Sander Loones,Sander,Loones,Kieskring West-Vlaanderen,18,False,J,https://ws.vlpar.be/e/opendata/vv/4622?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065574
1829396,4110,Bert Maertens,Bert,Maertens,Kieskring West-Vlaanderen,6,False,J,https://ws.vlpar.be/e/opendata/vv/4110?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2214538
1829396,3461,Philippe Muyters,Philippe,Muyters,Kieskring Antwerpen,5,False,J,https://ws.vlpar.be/e/opendata/vv/3461?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482432
1829396,4405,Freya Perdaens,Freya,Perdaens,Kieskring Antwerpen,69,False,J,https://ws.vlpar.be/e/opendata/vv/4405?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2075780
1829396,4651,Andy Pieters,Andy,Pieters,Kieskring Limburg,87,True,J,https://ws.vlpar.be/e/opendata/vv/4651?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065180
1829396,4632,Tomas Roggeman,Tomas,Roggeman,Kieskring Oost-Vlaanderen,70,False,J,https://ws.vlpar.be/e/opendata/vv/4632?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065572
1829396,4634,Eva Ryde,Eva,Ryde,Kieskring West-Vlaanderen,66,False,J,https://ws.vlpar.be/e/opendata/vv/4634?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065169
1829396,4635,Tom Seurs,Tom,Seurs,Kieskring Limburg,67,False,J,https://ws.vlpar.be/e/opendata/vv/4635?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065570
1829396,4413,Sarah Smeyers,Sarah,Smeyers,Kieskring Oost-Vlaanderen,32,False,J,https://ws.vlpar.be/e/opendata/vv/4413?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1929754
1829396,4089,Nadia Sminate,Nadia,Sminate,Kieskring Vlaams-Brabant,34,False,J,https://ws.vlpar.be/e/opendata/vv/4089?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1657128
1829396,4648,Ine Tombeur,Ine,Tombeur,Kieskring Vlaams-Brabant,88,True,J,https://ws.vlpar.be/e/opendata/vv/4648?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2064972
1829396,4660,Hans Vanhoof,Hans,Vanhoof,Kieskring Vlaams-Brabant,115,False,J,https://ws.vlpar.be/e/opendata/vv/4660?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2068976
1829396,4644,Sanne Van Looy,Sanne,Van Looy,Kieskring Antwerpen,90,False,J,https://ws.vlpar.be/e/opendata/vv/4644?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065567
1829396,4102,Karl Vanlouwe,Karl,Vanlouwe,Kieskring Brussel-Hoofdstad,49,True,J,https://ws.vlpar.be/e/opendata/vv/4102?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1478858
1829396,4064,Paul Van Miert,Paul,Van Miert,Kieskring Antwerpen,52,False,J,https://ws.vlpar.be/e/opendata/vv/4064?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1752953
1829396,4633,Griet Vanryckegem,Griet,Vanryckegem,Kieskring West-Vlaanderen,19,True,J,https://ws.vlpar.be/e/opendata/vv/4633?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2105136
1829398,4601,Michiel Awouters,Michiel,Awouters,Kieskring Limburg,84,False,J,https://ws.vlpar.be/e/opendata/vv/4601?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2064991
1829398,4384,Roosmarijn Beckers,Roosmarijn,Beckers,Kieskring Limburg,2,False,J,https://ws.vlpar.be/e/opendata/vv/4384?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2089719
