member_id,scope,committee_id,committee_name,role,aanwezig,afwezig,verontschuldigd
4383,plenaire,,,,83.0,,2.0
4383,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,2.0,,
4383,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,3.0,,
4383,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,1.0,,
4383,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",plaatsvervangend-lid-aanwezigheid,20.0,,3.0
4383,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",vast-lid-aanwezigheid,56.0,34.0,11.0
4606,plenaire,,,,84.0,,1.0
4606,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,1.0,,
4606,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,4.0,,
4606,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend-lid-aanwezigheid,5.0,,
4606,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",vast-lid-aanwezigheid,48.0,20.0,
4606,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,2.0,,
4606,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend-lid-aanwezigheid,9.0,,
4606,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4735,plenaire,,,,64.0,1.0,1.0
4735,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",vast-lid-aanwezigheid,59.0,4.0,8.0
4735,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,3.0,,
4735,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",niet-lid-aanwezigheid,1.0,,
4735,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend-lid-aanwezigheid,,,1.0
4735,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,4.0,,
4735,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",vast-lid-aanwezigheid,30.0,13.0,6.0
4735,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,1.0,,
4735,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,9.0,,
4735,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4601,plenaire,,,,81.0,1.0,3.0
4601,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",plaatsvervangend-lid-aanwezigheid,9.0,,2.0
4601,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,vast-lid-aanwezigheid,56.0,1.0,5.0
4601,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",niet-lid-aanwezigheid,2.0,,
4601,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,4.0,,
4601,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",vast-lid-aanwezigheid,91.0,19.0,5.0
4601,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,2.0,,
4601,commissie,1832497.0,Commissie voor Onderwijs,plaatsvervangend-lid-aanwezigheid,2.0,,4.0
4601,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend-lid-aanwezigheid,27.0,,2.0
4601,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,2.0,,
4601,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast-lid-aanwezigheid,44.0,15.0,5.0
4603,plenaire,,,,78.0,2.0,5.0
4603,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,4.0,,
4603,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,7.0,,
4603,commissie,1832490.0,Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn,niet-lid-aanwezigheid,1.0,,
4603,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",niet-lid-aanwezigheid,3.0,,
4603,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,2.0,,
4603,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,3.0,,
4603,commissie,1832497.0,Commissie voor Onderwijs,plaatsvervangend-lid-aanwezigheid,1.0,,2.0
4603,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend-lid-aanwezigheid,13.0,,
4603,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",vast-lid-aanwezigheid,18.0,34.0,4.0
4603,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4603,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast-lid-aanwezigheid,21.0,20.0,1.0
4603,commissie,1832504.0,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,vast-lid-aanwezigheid,2.0,1.0,1.0
4384,plenaire,,,,81.0,1.0,3.0
4384,commissie,1829775.0,Commissie ad hoc,vast-lid-aanwezigheid,,1.0,
4384,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,1.0,,
4384,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,4.0,,
4384,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend-lid-aanwezigheid,,,1.0
4384,commissie,1832497.0,Commissie voor Onderwijs,vast-lid-aanwezigheid,96.0,,21.0
4384,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,1.0,,
4388,plenaire,,,,83.0,2.0,
4388,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,2.0,,
4388,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,vast-lid-aanwezigheid,60.0,,2.0
4388,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,1.0,,
4388,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",plaatsvervangend-lid-aanwezigheid,1.0,,
4388,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,niet-lid-aanwezigheid,1.0,,
4388,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,1.0,,
4388,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend-lid-aanwezigheid,1.0,,
4388,commissie,1832504.0,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,vast-lid-aanwezigheid,4.0,,
4605,plenaire,,,,84.0,1.0,
4605,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",vast-lid-aanwezigheid,51.0,6.0,3.0
4605,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",vast-lid-aanwezigheid,86.0,39.0,2.0
4605,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,2.0,,
4605,commissie,1832494.0,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend-lid-aanwezigheid,1.0,,
4605,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,niet-lid-aanwezigheid,1.0,,
4605,commissie,1832497.0,Commissie voor Onderwijs,niet-lid-aanwezigheid,1.0,,
4605,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",niet-lid-aanwezigheid,2.0,,
4605,commissie,1832506.0,Interparlementaire Commissie van de Nederlandse Taalunie,vast-lid-aanwezigheid,7.0,,
4387,plenaire,,,,78.0,4.0,3.0
4387,commissie,1829775.0,Commissie ad hoc,vast-lid-aanwezigheid,1.0,,
4387,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,2.0,,
4387,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",plaatsvervangend-lid-aanwezigheid,1.0,,1.0
4387,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",vast-lid-aanwezigheid,54.0,67.0,6.0
4387,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",niet-lid-aanwezigheid,1.0,,
4387,commissie,1832497.0,Commissie voor Onderwijs,plaatsvervangend-lid-aanwezigheid,1.0,,6.0
