member_id,titel
3430,Ridder in de Leopoldsorde (2019)
2791,Ridder in de Leopoldsorde (2014)
4075,Ridder in de Leopoldsorde (2024)
4397,Ridder in de Leopoldsorde (2024)
4059,Ridder in de Leopoldsorde (2019)
3446,Commandeur in de Leopoldsorde (2019)
3221,Ridder in de Leopoldsorde (2014)
3221,Officier in de Leopoldsorde (2024)
4061,Grootofficier in de Leopoldsorde (2024)
4087,Ridder in de Leopoldsorde (2024)
3433,Ridder in de Leopoldsorde (2014)
3433,Ridder in de Kroonorde (2010)
3433,Officier in de Leopoldsorde (2024)
3458,Commandeur in de Leopoldsorde (2007)
3458,Grootofficier in de Leopoldsorde (2019)
3918,Ridder in de Leopoldsorde (2019)
