member_id,interesse,volgorde
4384,onderwijs,1.0
4384,gezinsbeleid,2.0
3430,economie,1.0
3430,werk,2.0
3430,innovatie,3.0
3430,energie,4.0
3430,ruimtelijke ordening,5.0
3430,plattelandsbeleid,6.0
4650,Economie,1.0
4650,Ondernemen,2.0
4114,wonen,1.0
4114,mobiliteit en openbare werken,2.0
4114,jeugd en kinderopvang,3.0
4661,Veiligheid,1.0
4661,Economie,2.0
4661,Stedenbeleid,3.0
4661,Lokale besturen,4.0
4661,Staatshervorming,5.0
4661,Justitie,6.0
2838,economie,
2838,internationale politiek,
2838,sport en cultuur,
2791,cultuur,
2791,muziek,
2791,sociale zaken,
2791,sport,
4615,Volksgezondheid,1.0
4615,Welzijn,2.0
4074,migratie,1.0
4074,openbare veiligheid,2.0
4074,sociale zekerheid,3.0
4074,sociale huisvesting,4.0
4411,leefbare planeet,1.0
4411,onderwijs dat iedereen doet schitteren,2.0
4411,recht op vast werk met volwaardige lonen,3.0
4659,cultuur,1.0
4659,sport,2.0
4659,jeugd en media,3.0
4659,onderwijs,4.0
1803,"binnenlandse zaken: stedelijk beleid, veiligheid, immigratie, bestuurlijke organisatie",
3445,sociale huisvesting,1.0
3445,sport,2.0
3445,vierdewereldproblematiek,3.0
3445,"staatshervorming, Europa en internationale politiek",4.0
4077,energie,1.0
4077,klimaat,2.0
4077,innovatie,3.0
4077,economie,4.0
4077,technologie,5.0
4077,buitenlandse handel,6.0
4620,Onderwijs,
3411,wonen,1.0
3411,inburgering,2.0
3411,ruimtelijke ordening,3.0
4078,sport,1.0
4078,dierenwelzijn,2.0
4078,toerisme en onroerend erfgoed,3.0
4078,landbouw,4.0
4078,binnenlands bestuur,5.0
4400,onderwijs,1.0
4400,Vlaamse rand,2.0
4400,Vlabinvest,3.0
4400,volkskunst,4.0
4400,energie,5.0
1847,Brussel,
1847,Vlaamse ontvoogdingsstrijd,
1847,vreemdelingenprobleem,
4110,Mobiliteit en Openbare Werken,1.0
4110,Economie,2.0
4110,Ruimtelijke Ordening,3.0
4110,Werking van de overheid,4.0
4110,Lokale besturen,5.0
4110,Sport,6.0
4572,Onderwijs,1.0
4572,Werk,2.0
4572,Dierenwelzijn,3.0
4572,Mobiliteit en Verkeer,4.0
4572,Openbare Werken,5.0
4572,Financiën,6.0
4572,"Gezondheid, Welzijn en Gezin",7.0
4572,Sport,8.0
4059,Wonen,1.0
4059,Cultuur,2.0
3461,financiën,1.0
3461,werk,2.0
3461,economie,3.0
3461,innovatie,4.0
3461,buitenlandse zaken,5.0
3461,sport,6.0
3298,leefmilieu,1.0
3298,ruimtelijke ordening,2.0
3298,landbouw,3.0
3298,onderwijs,4.0
4405,gelijke kansen/gelijke rechten,1.0
4405,dierenwelzijn,2.0
4405,milieu,3.0
3446,omgeving en ruimtelijke ordening,1.0
3446,energie en klimaat,2.0
3446,landbouw,3.0
3446,jacht,4.0
3446,economie en werk,5.0
4632,Mobiliteit,1.0
4632,Overheidsbedrijven,2.0
4632,Groeipakket,3.0
4632,Nationale parken,4.0
4632,Integratie,5.0
3221,wonen,1.0
3221,sport en jeugd,2.0
3221,welzijn,3.0
3221,plattelandsbeleid,4.0
3221,toerisme,5.0
3221,landbouw,6.0
4637,cultuur,1.0
4637,media,2.0
4637,jeugd,3.0
4637,sport,4.0
4637,erfgoed,5.0
4637,armoedebestrijding,6.0
4087,media en cultuur,1.0
4087,onderwijs en wetenschapsbeleid,2.0
4087,de Rand,3.0
4412,binnenlandse politiek,1.0
4412,Vlaamse rand,2.0
4412,dierenwelzijn,3.0
4412,immigratie,4.0
4412,onderwijs,5.0
4413,justitie,1.0
4413,migratie,2.0
4413,integratie,3.0
4413,wonen,4.0
4413,welzijn,5.0
4413,ouderenzorg,6.0
4648,sociaal beleid,1.0
4740,welzijn,1.0
4740,justitie,2.0
4102,"inclusief onderwijs, welzijn en cultuur te Brussel",1.0
4102,buitenlandse en Europese zaken,2.0
4102,institutionele zaken,3.0
4102,Vlaanderen in het buitenland,4.0
4641,Huisvesting ,
4641,Ouderenzorg,
4641,Welzijn,
4630,klimaat,1.0
4630,duurzaamheid,2.0
4624,zorg en welzijn,1.0
4624,natuur en leefmilieu,2.0
4624,gezondheid,3.0
4624,rouw en verlies,4.0
4429,gezondheidszorg,1.0
4429,sociale zekerheid,2.0
4429,maatschappelijk welzijn,3.0
4429,veiligheid,4.0
