member_id,mandaatgroep,mandaat,belangrijk_mandaat,datum_van,datum_tot
4383,Lokale mandaten,burgemeester Turnhout,N,2024-12-02T00:00:00+0100,
4383,Lokale mandaten,gemeenteraadslid Turnhout,N,2007-01-02T00:00:00+0100,
4383,Lokale mandaten,schepen Turnhout,N,2013-01-02T00:00:00+0100,2019-06-24T00:00:00+0200
4606,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4735,Lokale mandaten,gemeenteraadslid Tielt,N,2007-01-02T00:00:00+0100,
4735,Lokale mandaten,schepen Tielt,N,2025-01-03T00:00:00+0100,2025-01-30T23:59:59+0100
4735,Lokale mandaten,schepen Tielt,N,2013-01-02T00:00:00+0100,2019-01-04T23:59:59+0100
4735,Lokale mandaten,provincieraadslid West-Vlaanderen,N,2012-12-03T00:00:00+0100,2025-01-08T23:59:59+0100
4601,Lokale mandaten,gemeenteraadslid Halen,N,2024-12-02T00:00:00+0100,
4603,Lokale mandaten,gemeenteraadslid Gent,N,2019-01-03T00:00:00+0100,
4603,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,2024-11-26T23:59:59+0100
4603,Federale mandaten,gecoöpteerd senator,N,2019-07-12T00:00:00+0200,2024-05-27T23:59:59+0200
4603,Europese mandaten,plaatsvervangend lid van de Parlementaire Vergadering van de Raad van Europa,N,2019-09-30T00:00:00+0200,2024-09-29T23:59:59+0200
4384,Lokale mandaten,gemeenteraadslid Sint-Truiden,N,2025-01-06T00:00:00+0100,
4388,Lokale mandaten,gemeenteraadslid Brugge,N,2016-09-13T00:00:00+0200,
4388,Lokale mandaten,gemeenteraadslid Brugge,N,1996-06-26T00:00:00+0200,2012-12-31T00:00:00+0100
4388,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4388,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4388,Federale mandaten,rechtstreeks verkozen senator,N,2010-07-06T00:00:00+0200,2014-05-24T00:00:00+0200
4388,Federale mandaten,rechtstreeks verkozen senator,N,2007-06-28T00:00:00+0200,2010-06-12T00:00:00+0200
4388,Federale mandaten,rechtstreeks verkozen senator,N,2003-06-05T00:00:00+0200,2007-06-09T00:00:00+0200
4388,Federale mandaten,rechtstreeks verkozen senator,N,2001-03-08T00:00:00+0100,2003-05-17T00:00:00+0200
4388,Federale mandaten,derde ondervoorzitter van de Senaat,N,2009-10-13T00:00:00+0200,2010-06-12T00:00:00+0200
4388,Federale mandaten,Bureaulid van de Senaat,N,2024-03-01T00:00:00+0100,
4605,Lokale mandaten,burgemeester Vosselaar,N,2019-01-01T00:00:00+0100,
4605,Lokale mandaten,gemeenteraadslid Vosselaar,N,2013-01-01T00:00:00+0100,
4605,Lokale mandaten,schepen Vosselaar,N,2013-01-02T00:00:00+0100,2018-12-31T23:59:59+0100
4387,Lokale mandaten,gemeenteraadslid Sint-Niklaas,N,2024-12-02T00:00:00+0100,
3430,Lokale mandaten,gemeenteraadslid Kruisem,N,2019-01-02T00:00:00+0100,
3430,Lokale mandaten,gemeenteraadslid Kruishoutem,N,2001-01-01T00:00:00+0100,2018-12-31T00:00:00+0100
3430,Lokale mandaten,schepen Kruisem,N,2019-01-02T00:00:00+0100,
3430,Lokale mandaten,schepen Kruishoutem,N,2007-01-02T00:00:00+0100,2018-12-31T00:00:00+0100
4386,Lokale mandaten,gemeenteraadslid Aalst,N,2024-12-03T00:00:00+0100,
4386,Lokale mandaten,gemeenteraadslid Gent,N,2019-01-03T00:00:00+0100,2023-11-27T23:59:59+0100
4386,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4650,Lokale mandaten,gemeenteraadslid Beveren-Kruibeke-Zwijndrecht,N,2025-01-02T00:00:00+0100,
4650,Lokale mandaten,gemeenteraadslid Beveren,N,2019-01-03T00:00:00+0100,2025-01-01T23:59:59+0100
4650,Lokale mandaten,schepen Beveren-Kruibeke-Zwijndrecht,N,2025-01-02T00:00:00+0100,
4650,Lokale mandaten,schepen Beveren,N,2019-01-03T00:00:00+0100,2025-01-01T23:59:59+0100
4650,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,2024-11-30T23:59:59+0100
4650,Europese mandaten,plaatsvervangend lid van de Benelux Interparlementaire Assemblee,N,2024-10-09T00:00:00+0200,
4607,Lokale mandaten,gemeenteraadslid Ravels,N,2019-01-07T00:00:00+0100,2024-12-01T23:59:59+0100
4607,Federale mandaten,volksvertegenwoordiger kieskring Antwerpen,N,2019-05-26T00:00:00+0200,2024-05-27T23:59:59+0200
4658,Lokale mandaten,burgemeester Rumst,N,2019-01-01T00:00:00+0100,
4658,Lokale mandaten,gemeenteraadslid Rumst,N,2013-01-01T00:00:00+0100,
4658,Lokale mandaten,schepen Rumst,N,2013-01-01T00:00:00+0100,2018-12-31T23:59:59+0100
4114,Lokale mandaten,waarnemend burgemeester Tongeren,N,2019-07-01T00:00:00+0200,2020-10-12T23:59:59+0200
4114,Lokale mandaten,gemeenteraadslid Tongeren,N,2007-01-01T00:00:00+0100,
4114,Lokale mandaten,eerste schepen Tongeren,N,2020-10-13T00:00:00+0200,
4114,Lokale mandaten,eerste schepen Tongeren,N,2019-01-03T00:00:00+0100,2019-06-30T23:59:59+0200
4114,Lokale mandaten,schepen toerisme en zorg Tongeren,N,2013-01-01T00:00:00+0100,2019-01-02T23:59:59+0100
4390,Lokale mandaten,gemeenteraadslid Rumst,N,2019-01-03T00:00:00+0100,
4608,Lokale mandaten,gemeenteraadslid Bilzen,N,2025-01-02T00:00:00+0100,
4657,Lokale mandaten,gemeenteraadslid Sint-Truiden,N,2013-01-01T00:00:00+0100,
4657,Lokale mandaten,schepen Sint-Truiden,N,2022-11-28T00:00:00+0100,
4657,Federale mandaten,volksvertegenwoordiger kieskring Limburg,N,2022-06-30T00:00:00+0200,2024-05-27T23:59:59+0200
4609,Lokale mandaten,gemeenteraadslid Genk,N,2019-01-02T00:00:00+0100,
4609,Federale mandaten,volksvertegenwoordiger kieskring Luik,N,2019-05-26T00:00:00+0200,2024-05-27T23:59:59+0200
4610,Lokale mandaten,gemeenteraadslid Hoeilaart,N,2007-01-01T00:00:00+0100,
4610,Lokale mandaten,"schepen seniorenbeleid, gebouwenbeheer, begraafplaatsen, integratie en Vlaams karakter Hoeilaart",N,2024-02-26T00:00:00+0100,2024-12-05T23:59:59+0100
4610,Lokale mandaten,"schepen sport, wonen, energie, kinderwelzijn en onderwijs Hoeilaart",N,2013-01-02T00:00:00+0100,2020-09-30T23:59:59+0200
4610,Minister,staatssecretaris voor Begroting en Consumentenbescherming,N,2020-10-01T00:00:00+0200,2022-11-18T23:59:59+0100
4444,Lokale mandaten,gemeenteraadslid Lubbeek,N,2024-12-05T00:00:00+0100,
4444,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4661,Lokale mandaten,burgemeester Roeselare,N,2016-03-01T00:00:00+0100,
4661,Lokale mandaten,gemeenteraadslid Roeselare,N,2007-01-01T00:00:00+0100,
4661,Lokale mandaten,schepen Roeselare,N,2006-01-01T00:00:00+0100,2016-02-29T23:59:59+0100
