member_id,belangrijk_mandaat,titel,omschrijving,datum_van,datum_tot,commissie_id,commissie_afkorting,commissie_titel
4383,J,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832495,LEE,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening"
4383,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",eerste ondervoorzitter,2025-01-08T14:00:00+0100,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4383,J,Commissie voor Mobiliteit en Openbare Werken,plaatsvervangend lid,2024-10-09T16:45:00+0200,2025-03-19T14:10:59+0100,1832496,OPE,Commissie voor Mobiliteit en Openbare Werken
4383,J,Bureau,tweede ondervoorzitter,2024-07-02T18:25:00+0200,2025-01-08T14:15:00+0100,1829757,BUR,Bureau
4383,J,Uitgebreid Bureau,tweede ondervoorzitter,2024-07-02T18:25:00+0200,2025-01-08T14:15:00+0100,1829758,UBUR,Uitgebreid Bureau
4383,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",vast lid,2024-10-09T16:45:00+0200,2025-01-08T13:59:59+0100,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4383,J,Commissie voor de Vervolgingen,vast lid,2024-10-09T16:45:00+0200,2025-01-08T13:59:59+0100,1832501,VER,Commissie voor de Vervolgingen
4383,J,Commissie voor Reglement en Samenwerking,tweede ondervoorzitter,2024-10-09T16:45:00+0200,2025-01-08T14:15:59+0100,1832500,REG,Commissie voor Reglement en Samenwerking
4383,J,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Energie",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333177,LEE,"Commissie voor Leefmilieu, Natuur, Ruimtelijke Ordening en Energie"
4383,J,Deontologische Commissie,plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333271,DEO,Deontologische Commissie
4383,J,"Commissie voor Cultuur, Jeugd, Sport en Media",vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333053,CUL,"Commissie voor Cultuur, Jeugd, Sport en Media"
4383,J,Onderzoekscommissie naar de veiligheid in de kinderopvang,vast lid,2022-03-23T14:00:00+0100,2022-07-13T00:00:00+0200,1621329,VKO,Onderzoekscommissie naar de veiligheid in de kinderopvang
4383,J,Onderzoekscommissie PFAS-PFOS,voorzitter,2021-06-25T10:11:00+0200,2022-03-30T23:59:59+0200,1537200,PFAS-PFOS,Onderzoekscommissie PFAS-PFOS
4383,J,Uitgebreid Bureau,plaatsvervangend fractievoorzitter,2021-03-29T00:00:00+0200,2021-07-11T23:52:00+0200,1320175,UBUR,Uitgebreid Bureau
4383,J,Onderzoekscommissie PFAS-PFOS,vast lid,2021-06-23T18:40:00+0200,2021-06-25T10:10:00+0200,1537200,PFAS-PFOS,Onderzoekscommissie PFAS-PFOS
4383,J,Commissie ad hoc voor de Evaluatie en Verdere Uitvoering van het Vlaamse Coronabeleid,tweede ondervoorzitter,2020-06-03T14:00:00+0200,2020-12-31T23:59:59+0100,1396349,COR,Commissie ad hoc voor de Evaluatie en Verdere Uitvoering van het Vlaamse Coronabeleid
4606,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832494,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
4606,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4606,J,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",tweede ondervoorzitter,2024-10-09T16:45:00+0200,,1832495,LEE,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening"
4735,J,Commissie voor Reglement en Samenwerking,plaatsvervangend lid,2025-01-08T14:10:00+0100,,1832500,REG,Commissie voor Reglement en Samenwerking
4735,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2025-04-02T14:10:00+0200,,1832494,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
4735,J,Commissie voor de Vervolgingen,vast lid,2025-01-08T14:10:00+0100,,1832501,VER,Commissie voor de Vervolgingen
4735,J,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",vast lid,2025-03-19T14:10:00+0100,,1832495,LEE,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening"
4735,J,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",tweede ondervoorzitter,2025-01-08T14:10:00+0100,,1832481,FIN,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed"
4735,J,Commissie voor Binnenlands Bestuur en Inburgering,plaatsvervangend lid,2025-01-08T14:10:00+0100,2025-04-02T13:59:59+0200,1832489,BIN,Commissie voor Binnenlands Bestuur en Inburgering
4735,J,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",plaatsvervangend lid,2025-01-08T14:10:00+0100,2025-04-02T13:59:59+0200,1832491,BUI,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking"
4735,J,"Commissie voor Cultuur, Jeugd, Sport en Media",plaatsvervangend lid,2025-01-08T14:10:00+0100,2025-04-02T13:59:59+0200,1832492,CUL,"Commissie voor Cultuur, Jeugd, Sport en Media"
4601,J,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832481,FIN,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed"
4601,J,Commissie voor Onderwijs,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832497,OND,Commissie voor Onderwijs
4601,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4601,J,Commissie voor Binnenlands Bestuur en Inburgering,vast lid,2024-10-09T16:45:00+0200,,1832489,BIN,Commissie voor Binnenlands Bestuur en Inburgering
4601,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",vast lid,2024-10-09T16:45:00+0200,,1832493,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
4601,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast lid,2025-06-04T14:10:00+0200,,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4603,J,Commissie voor Onderwijs,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832497,OND,Commissie voor Onderwijs
4603,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",vast lid,2025-07-16T09:10:00+0200,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4603,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,tweede ondervoorzitter,2024-11-20T14:00:00+0100,,1832504,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
4603,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend lid,2024-10-09T16:45:00+0200,2025-07-16T09:10:59+0200,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4603,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast lid,2024-10-09T16:45:00+0200,2025-07-16T08:59:59+0200,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4603,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,vast lid,2024-10-09T16:45:00+0200,2024-11-20T13:59:59+0100,1832504,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
4384,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832494,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
4384,J,Commissie voor Onderwijs,vast lid,2024-10-09T16:45:00+0200,,1832497,OND,Commissie voor Onderwijs
4384,J,Commissie ad hoc,vast lid,2024-07-04T14:00:00+0200,2024-10-09T16:44:59+0200,1829775,AH,Commissie ad hoc
4384,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333137,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
