member_id,datum_van,datum_tot,fractie_id,fractie_naam,fractie_kleur
4383,2024-07-02T00:00:00+0200,,1829393,Vooruit,ff2900
4383,2021-03-21T12:00:00+0100,2024-06-08T23:59:59+0200,1279894,Vooruit,FF2900
4383,2019-06-18T00:00:00+0200,2021-03-21T12:00:00+0100,1279894,sp·a,e23a3f
4606,2024-07-02T00:00:00+0200,,1829399,PVDA,aa050e
4735,2025-01-08T14:10:00+0100,,1829393,Vooruit,ff2900
4601,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4603,2024-07-02T00:00:00+0200,,1829395,Groen,83de62
4384,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4384,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
4388,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4388,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
4605,2024-07-02T00:00:00+0200,,1829394,cd&v,f5822a
4387,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4387,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
3430,2024-07-02T00:00:00+0200,,1829394,cd&v,f5822a
3430,2022-05-18T09:28:00+0200,2024-06-08T23:59:59+0200,1279893,cd&v,f5822a
3430,2019-06-18T00:00:00+0200,2022-05-18T09:28:00+0200,1279893,CD&V,f5822a
3430,2014-06-17T00:00:00+0200,2019-05-25T23:59:59+0200,1491031,CD&V,f5822a
3430,2009-06-30T00:00:00+0200,2014-05-24T23:59:59+0200,1491032,CD&V,f5822a
4386,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4386,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
4650,2024-07-02T14:00:00+0200,,1829396,N-VA,ffac12
4607,2024-07-02T00:00:00+0200,,1829395,Groen,83de62
4658,2024-10-02T14:07:00+0200,,1829396,N-VA,ffac12
4114,2024-07-02T00:00:00+0200,,1829394,cd&v,f5822a
4114,2014-07-25T00:00:00+0200,2019-05-25T23:59:59+0200,1491031,CD&V,f5822a
4390,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4390,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
4608,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4657,2024-10-02T14:07:00+0200,,1829396,N-VA,ffac12
4609,2024-07-02T00:00:00+0200,,1829399,PVDA,aa050e
4610,2026-01-21T14:07:00+0100,,1829397,Anders.,3f38ff
4610,2024-07-02T00:00:00+0200,2026-01-21T14:07:00+0100,1829397,Open Vld,003d6d
4444,2024-07-02T00:00:00+0200,,1829396,N-VA,ffac12
4444,2019-10-04T00:00:00+0200,2024-06-08T23:59:59+0200,1279896,N-VA,ffac12
4661,2024-10-02T14:07:00+0200,,1829394,cd&v,f5822a
4613,2024-07-02T00:00:00+0200,,1829396,N-VA,ffac12
4070,2024-07-02T00:00:00+0200,,1829396,N-VA,ffac12
4070,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279896,N-VA,ffac12
4070,2014-06-17T00:00:00+0200,2019-05-25T23:59:59+0200,1491004,N-VA,ffac12
2838,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
2838,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
2838,2009-06-30T00:00:00+0200,2014-05-24T23:59:59+0200,1491023,Vlaams Belang,ffe500
2838,2004-11-15T00:00:00+0100,2009-06-06T23:59:59+0200,1491028,Vlaams Belang,ffe500
2838,2004-07-06T00:00:00+0200,2004-11-14T23:59:59+0100,1491028,VB,ffe500
4432,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4432,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
4614,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4525,2024-07-04T14:00:00+0200,,1829394,cd&v,f5822a
4525,2022-05-18T09:28:00+0200,2024-06-08T23:59:59+0200,1279893,cd&v,f5822a
4525,2020-10-07T00:00:00+0200,2022-05-18T09:28:00+0200,1279893,CD&V,f5822a
4612,2024-07-02T00:00:00+0200,,1829399,PVDA,aa050e
2791,2024-07-02T00:00:00+0200,,1829393,Vooruit,ff2900
2791,2021-03-21T12:00:00+0100,2024-06-08T23:59:59+0200,1279894,Vooruit,FF2900
2791,2019-06-18T00:00:00+0200,2021-03-21T12:00:00+0100,1279894,sp·a,e23a3f
2791,2014-06-17T00:00:00+0200,2019-05-25T23:59:59+0200,1491009,sp·a,e23a3f
2791,2009-06-30T00:00:00+0200,2014-05-24T23:59:59+0200,1491010,sp·a,e23a3f
2791,2008-12-18T00:00:00+0100,2009-06-06T23:59:59+0200,1491011,sp·a,e23a3f
2791,2008-04-23T00:00:00+0200,2008-12-17T23:59:59+0100,1491011,sp·a + VlaamsProgressieven,e23a3f
2791,2004-07-06T00:00:00+0200,2008-04-22T23:59:59+0200,1491011,sp·a-spirit,e23a3f
4395,2026-01-21T14:07:00+0100,,1829397,Anders.,3f38ff
4395,2024-07-02T00:00:00+0200,2026-01-21T14:07:00+0100,1829397,Open Vld,003d6d
4395,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279901,Open Vld,003d6d
4615,2024-07-02T00:00:00+0200,,1829396,N-VA,ffac12
4074,2024-07-02T00:00:00+0200,,1829398,Vlaams Belang,ffe500
4074,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1279900,Vlaams Belang,ffe500
4074,2014-06-17T00:00:00+0200,2019-05-25T23:59:59+0200,1491022,Vlaams Belang,ffe500
4411,2024-07-02T00:00:00+0200,,1829399,PVDA,aa050e
4411,2019-06-18T00:00:00+0200,2024-06-08T23:59:59+0200,1321906,PVDA,AA050E
