member_id,member_name,oral_item_id,role,publicatiedatum,onderwerp
4637.0,Frederik Sioen,2021377,vraagsteller,2026-05-06,over het ontslag van de CEO van Basketbal Vlaanderen
,Annick De Ridder,2021377,minister,2026-05-06,over het ontslag van de CEO van Basketbal Vlaanderen
4059.0,Katrien Partyka,2021415,vraagsteller,2026-04-23,"over het gebruik van AI bij het Departement Cultuur, Jeugd en Media"
,Caroline Gennez,2021415,minister,2026-04-23,"over het gebruik van AI bij het Departement Cultuur, Jeugd en Media"
3221.0,Els Robeyns,2021360,vraagsteller,2026-04-23,over een geïntegreerd ticketsysteem voor het openbaar vervoer
,Annick De Ridder,2021360,minister,2026-04-23,over een geïntegreerd ticketsysteem voor het openbaar vervoer
4114.0,An Christiaens,2020799,vraagsteller,2026-04-23,over de onderhandelingen met Nederland over de geplande afbraak van de spoorbrug over de Maas in Maastricht
,Annick De Ridder,2020799,minister,2026-04-23,over de onderhandelingen met Nederland over de geplande afbraak van de spoorbrug over de Maas in Maastricht
3221.0,Els Robeyns,2018154,vraagsteller,2026-04-23,over de open brief van een brede coalitie organisaties over de besparingen bij De Lijn
,Annick De Ridder,2018154,minister,2026-04-23,over de open brief van een brede coalitie organisaties over de besparingen bij De Lijn
4609.0,Gaby Colebunders,2011418,vraagsteller,2026-04-02,over de dwangsommen die werden opgelegd aan verkeersleiders tijdens de stakingsactie van de scheepvaartbegeleiding
,Annick De Ridder,2011418,minister,2026-04-02,over de dwangsommen die werden opgelegd aan verkeersleiders tijdens de stakingsactie van de scheepvaartbegeleiding
4650.0,Inge Brocken,1994315,vraagsteller,2026-03-13,"over de economische impact van de combinatie ondernemerschap en jonge kinderen, vooral voor vrouwen"
,Matthias Diependaele,1994315,minister,2026-03-13,"over de economische impact van de combinatie ondernemerschap en jonge kinderen, vooral voor vrouwen"
4409.0,Mieke Schauvliege,1990573,vraagsteller,2026-02-04,over de goedkeuring van onbewezen stikstofmaatregelen en het negeren van wetenschappelijke adviezen
,Jo Brouns,1990573,minister,2026-02-04,over de goedkeuring van onbewezen stikstofmaatregelen en het negeren van wetenschappelijke adviezen
2838.0,Johan Deckmyn,1990567,vraagsteller,2026-02-04,over het vrijhandelsakkoord tussen de Europese Unie en India en de impact op Vlaanderen
,Matthias Diependaele,1990567,minister,2026-02-04,over het vrijhandelsakkoord tussen de Europese Unie en India en de impact op Vlaanderen
4650.0,Inge Brocken,1990504,vraagsteller,2026-02-04,over de Vlaamse deelname aan het World Economic Forum in Davos
,Matthias Diependaele,1990504,minister,2026-02-04,over de Vlaamse deelname aan het World Economic Forum in Davos
4409.0,Mieke Schauvliege,1990453,vraagsteller,2026-02-04,over de gedifferentieerde tarieven voor afvalophaling
,Jo Brouns,1990453,minister,2026-02-04,over de gedifferentieerde tarieven voor afvalophaling
4607.0,Kim Buyst,1990439,vraagsteller,2026-02-04,over het statuut van lokale mandatarissen
