member_id,titel,werkgever,datum_van,datum_tot,datum_van_formaat,datum_tot_formaat
4383,kabinetsmedewerker gedeputeerde Jos Geuens,provincie Antwerpen,2007-10-01T00:00:00+0200,2008-10-01T00:00:00+0200,MM-YYYY,MM-YYYY
4383,stafmedewerker,kabinet Vlaams minister Kathleen Van Brempt,2008-11-01T00:00:00+0100,2009-01-01T00:00:00+0100,MM-YYYY,MM-YYYY
4383,inhoudelijk medewerker,sp.a provincie Antwerpen,2009-02-01T00:00:00+0100,2009-08-01T00:00:00+0200,MM-YYYY,MM-YYYY
4383,beleidsmedewerker Welzijn,"Vlaamse overheid, departement Bestuurszaken",2010-05-01T00:00:00+0200,2011-12-01T00:00:00+0100,MM-YYYY,MM-YYYY
4383,beleidsmedewerker Organisatieontwikkeling,"Vlaamse overheid, departement Bestuurszaken",2012-01-01T00:00:00+0100,2014-12-01T00:00:00+0100,MM-YYYY,MM-YYYY
4383,beleidsmedewerker,"Vlaamse overheid, Agentschap voor Binnenlands Bestuur",2015-01-01T00:00:00+0100,2019-05-01T00:00:00+0200,MM-YYYY,MM-YYYY
4601,Beleidsmedewerker organisatieontwikkeling en deskundige economie,Gemeentebestuur Lubbeek,2019-06-03T00:00:00+0200,2023-02-27T23:59:59+0100,DD-MM-YYYY,DD-MM-YYYY
4601,"Inhoudelijk medewerker Werk, Sociale Zaken en Pensioenen Vlaams Belang-fractie",Kamer van Volksvertegenwoordigers,2023-03-01T00:00:00+0100,2024-06-08T23:59:59+0200,DD-MM-YYYY,DD-MM-YYYY
4384,leraar,Ministerie van Onderwijs,2009-01-01T00:00:00+0100,2011-01-01T00:00:00+0100,YYYY,YYYY
4384,meewerkende echtgenote,zelfstandige,2011-01-01T00:00:00+0100,2019-01-01T00:00:00+0100,YYYY,YYYY
3430,parlementair medewerker,Kamer van Volksvertegenwoordigers,2002-01-01T00:00:00+0100,2003-01-01T00:00:00+0100,YYYY,YYYY
3430,adviseur arbeidsmarktbeleid,UNIZO,2003-01-01T00:00:00+0100,2007-01-01T00:00:00+0100,YYYY,YYYY
4607,Leerkracht,Sint-Victor Turnhout,1998-09-01T00:00:00+0200,2019-06-01T23:59:59+0200,DD-MM-YYYY,DD-MM-YYYY
4114,advocaat,,2003-01-01T00:00:00+0100,2020-12-31T23:59:59+0100,YYYY,YYYY
4114,jurist,stad Bilzen,2008-01-01T00:00:00+0100,2014-12-31T23:59:59+0100,YYYY,YYYY
4661,Adviseur,kabinet van de minister van Justitie Stefaan De Clerck,1997-01-01T00:00:00+0100,1998-12-31T23:59:59+0100,YYYY,YYYY
4661,Parlementair medewerker,volksvertegenwoordiger Stefaan De Clerck,1998-01-01T00:00:00+0100,2000-12-31T23:59:59+0100,YYYY,YYYY
4661,"Onderzoeksopdracht aan de Universiteit Antwerpen, Law Commission, Pretoria, Zuid-Afrika; publicatie ‘Constitutional Law in South Africa’, Mys & Breesch",,1999-01-01T00:00:00+0100,1999-12-31T23:59:59+0100,YYYY,YYYY
4661,Medewerker Institutionele Hervormingen,CD&V-Senaatsfractie,2000-01-01T00:00:00+0100,2002-12-31T23:59:59+0100,YYYY,YYYY
4661,Fractiesecretaris,CD&V-Senaatsfractie,2002-01-01T00:00:00+0100,2004-12-31T23:59:59+0100,YYYY,YYYY
4661,Advocaat,,2002-01-01T00:00:00+0100,2023-12-31T23:59:59+0100,YYYY,YYYY
