member_id,question_id,role,publicatiedatum,onderwerp
4410,2006410,vraagsteller,2026-04-28,Ruimtevaartbeleid  -  Stopzetting Flanders Space
3455,2006410,minister,2026-04-28,Ruimtevaartbeleid  -  Stopzetting Flanders Space
4110,2006166,vraagsteller,2026-04-28,ICT-veiligheidsaudit lokale besturen  -  Stand van zaken (2)
2789,2006166,minister,2026-04-28,ICT-veiligheidsaudit lokale besturen  -  Stand van zaken (2)
4410,2005914,vraagsteller,2026-04-28,CMS-tracker upgrade CERN  -  Vlaamse financiering en economische return
3455,2005914,minister,2026-04-28,CMS-tracker upgrade CERN  -  Vlaamse financiering en economische return
4641,2005340,vraagsteller,2026-04-28,Maandverslag wapenhandel november 2025  -  Doorvoer
3455,2005340,minister,2026-04-28,Maandverslag wapenhandel november 2025  -  Doorvoer
4628,2003176,vraagsteller,2026-04-28,Compensatiesteun voor de industrie  -  Internationale vergelijking
3455,2003176,minister,2026-04-28,Compensatiesteun voor de industrie  -  Internationale vergelijking
4410,2003171,vraagsteller,2026-04-28,AI-opleidingen - Beleidsreactie op Agoria-studie
3455,2003171,minister,2026-04-28,AI-opleidingen - Beleidsreactie op Agoria-studie
4410,2002929,vraagsteller,2026-04-28,Haven van Antwerpen  -  Invulling Vopak Energy Park na wegvallen investering Vioneo
3455,2002929,minister,2026-04-28,Haven van Antwerpen  -  Invulling Vopak Energy Park na wegvallen investering Vioneo
4443,2002869,vraagsteller,2026-04-28,"Economie, Innovatie en Industrie, Buitenlandse Zaken, Digitalisering en Facilitair Management  -  Antiracisme-initiatieven"
3455,2002869,minister,2026-04-28,"Economie, Innovatie en Industrie, Buitenlandse Zaken, Digitalisering en Facilitair Management  -  Antiracisme-initiatieven"
4644,2006679,vraagsteller,2026-04-27,Recreatieve palingvisserij binnenwateren  -  Regelgeving
4430,2006679,minister,2026-04-27,Recreatieve palingvisserij binnenwateren  -  Regelgeving
4648,2006638,vraagsteller,2026-04-27,'Weerbaar Waterlandschap Wissenbos'  -   Hervorming waterbeheer en aanpak beverproblematiek
4430,2006638,minister,2026-04-27,'Weerbaar Waterlandschap Wissenbos'  -   Hervorming waterbeheer en aanpak beverproblematiek
4075,2004944,vraagsteller,2026-04-27,Bijzondere veldwachters  -  Statuut en rol
4430,2004944,minister,2026-04-27,Bijzondere veldwachters  -  Statuut en rol
4634,2002829,vraagsteller,2026-04-27,Individuele inclusieve buitenschoolse kinderopvang  -  Evolutie
2836,2002829,minister,2026-04-27,Individuele inclusieve buitenschoolse kinderopvang  -  Evolutie
4644,1999143,vraagsteller,2026-04-20,Bescherming kraaiachtigen  -  Afwijkingen
4430,1999143,minister,2026-04-20,Bescherming kraaiachtigen  -  Afwijkingen
3433,1999045,vraagsteller,2026-04-14,Centra algemeen welzijnswerk (CAW's)  -  Relatieondersteuning
2836,1999045,minister,2026-04-14,Centra algemeen welzijnswerk (CAW's)  -  Relatieondersteuning
3433,1999043,vraagsteller,2026-04-14,Schoolproject 'Snack & Chill'  -  Deelname en evaluatie
2836,1999043,minister,2026-04-14,Schoolproject 'Snack & Chill'  -  Deelname en evaluatie
4443,1999026,vraagsteller,2026-04-14,Mantelzorgstatuut  -  Voortgang plan 2022-2024 en harmonisatie
2836,1999026,minister,2026-04-14,Mantelzorgstatuut  -  Voortgang plan 2022-2024 en harmonisatie
4426,1998677,vraagsteller,2026-04-14,Assistentiewoningen  -  Rechten eigenaars en huurders
4604,1998677,minister,2026-04-14,Assistentiewoningen  -  Rechten eigenaars en huurders
4102,1998078,vraagsteller,2026-04-08,Fietssnelweg F2 Gent-Brussel  -  Aansluiting op Brusselse fietsnetwerk
2793,1998078,minister,2026-04-08,Fietssnelweg F2 Gent-Brussel  -  Aansluiting op Brusselse fietsnetwerk
4632,1998017,vraagsteller,2026-04-08,Vlaamse waterwegen  -  Binnenvaarttrafiek en overslagpunten
2793,1998017,minister,2026-04-08,Vlaamse waterwegen  -  Binnenvaarttrafiek en overslagpunten
4410,1997928,vraagsteller,2026-04-08,Europees emissiehandelssysteem (ETS)  -  Oproep van chemiefederatie essenscia tot bijsturing
3455,1997928,minister,2026-04-08,Europees emissiehandelssysteem (ETS)  -  Oproep van chemiefederatie essenscia tot bijsturing
4387,1996174,vraagsteller,2026-04-08,Gevaarlijke punten  -  Lokeren
2793,1996174,minister,2026-04-08,Gevaarlijke punten  -  Lokeren
4410,1996117,vraagsteller,2026-04-08,Gevaarlijke punten  -  Lebbeke
2793,1996117,minister,2026-04-08,Gevaarlijke punten  -  Lebbeke
4095,1995856,vraagsteller,2026-04-08,Gevaarlijke punten  -  Antwerpen
2793,1995856,minister,2026-04-08,Gevaarlijke punten  -  Antwerpen
4615,2014869,vraagsteller,2026-05-22,Gebruik van zorgvoorzieningen in een andere deelstaat  -  Financiering
2836,2014869,minister,2026-05-22,Gebruik van zorgvoorzieningen in een andere deelstaat  -  Financiering
4619,2013858,vraagsteller,2026-05-22,Topevenementen  -  Samenwerking met Event Flanders
2836,2013858,minister,2026-05-22,Topevenementen  -  Samenwerking met Event Flanders
4619,2013802,vraagsteller,2026-05-22,Belfiuskunstcollectie  -  Ontsluiting
2836,2013802,minister,2026-05-22,Belfiuskunstcollectie  -  Ontsluiting
3433,2013697,vraagsteller,2026-05-22,Centra voor kortverblijf  -  Opnames (2)
2836,2013697,minister,2026-05-22,Centra voor kortverblijf  -  Opnames (2)
3918,2013103,vraagsteller,2026-05-22,Digitale strategische infrastructuur  -  Maatregelen
3455,2013103,minister,2026-05-22,Digitale strategische infrastructuur  -  Maatregelen
4443,2012524,vraagsteller,2026-05-22,Wetenschappelijke informatie - Open Access-beleid opvolgvraag
4440,2012524,minister,2026-05-22,Wetenschappelijke informatie - Open Access-beleid opvolgvraag
4632,2012423,vraagsteller,2026-05-22,Thuiswonende (meerderjarige) kinderen  -  Cumulatie leefloon en groeipakket (2)
2836,2012423,minister,2026-05-22,Thuiswonende (meerderjarige) kinderen  -  Cumulatie leefloon en groeipakket (2)
4405,2012413,vraagsteller,2026-05-22,OverKop-huizen  -  Beleidsevaluatie
2836,2012413,minister,2026-05-22,OverKop-huizen  -  Beleidsevaluatie
4632,2012379,vraagsteller,2026-05-22,Unieke uitbetaler groeipakket   -  Personeelsluik
2836,2012379,minister,2026-05-22,Unieke uitbetaler groeipakket   -  Personeelsluik
4415,2012276,vraagsteller,2026-05-22,Buitenschoolse opvang  -  Gegarandeerde plaats voor elk kind
2836,2012276,minister,2026-05-22,Buitenschoolse opvang  -  Gegarandeerde plaats voor elk kind
3965,2011161,vraagsteller,2026-05-22,Bewegen Op Verwijzing  -  Decimering
2836,2011161,minister,2026-05-22,Bewegen Op Verwijzing  -  Decimering
4613,2010178,vraagsteller,2026-05-22,Vlaamse Instelling voor Technologisch Onderzoek (VITO)  -  Rol bij aardobservatie
3455,2010178,minister,2026-05-22,Vlaamse Instelling voor Technologisch Onderzoek (VITO)  -  Rol bij aardobservatie
1803,2009843,vraagsteller,2026-05-22,Halalvoeding  -  Productie en certificering
3455,2009843,minister,2026-05-22,Halalvoeding  -  Productie en certificering
4443,2016615,vraagsteller,2026-06-02,"Verdwenen zwarte verkeerspunten  -  Kerkdreef, Kortrijkseweg in Waregem"
2793,2016615,minister,2026-06-02,"Verdwenen zwarte verkeerspunten  -  Kerkdreef, Kortrijkseweg in Waregem"
4641,2016577,vraagsteller,2026-06-02,Sociale huurders  -  Ongelijke behandeling bij gedwongen verhuis en ondersteuning door woonmaatschappijen
4604,2016577,minister,2026-06-02,Sociale huurders  -  Ongelijke behandeling bij gedwongen verhuis en ondersteuning door woonmaatschappijen
4443,2016480,vraagsteller,2026-06-02,"De Vlaamse Waterweg (DVW)  -  Te koop staande, verwaarloosde of ongeschikte woningen"
2793,2016480,minister,2026-06-02,"De Vlaamse Waterweg (DVW)  -  Te koop staande, verwaarloosde of ongeschikte woningen"
4443,2016193,vraagsteller,2026-06-02,G-sportclubs  -  West-Vlaanderen
2793,2016193,minister,2026-06-02,G-sportclubs  -  West-Vlaanderen
4443,2016188,vraagsteller,2026-06-02,Wetenschappelijke informatie - Open Access-beleid opvolgvraag
4440,2016188,minister,2026-06-02,Wetenschappelijke informatie - Open Access-beleid opvolgvraag
4110,2013543,vraagsteller,2026-06-02,Jaagpaden  -  Openbare verlichting
2793,2013543,minister,2026-06-02,Jaagpaden  -  Openbare verlichting
3433,2013529,vraagsteller,2026-05-26,Hoevewinkels en hoevetoerisme provincie Antwerpen  -  VLIF-steun
4430,2013529,minister,2026-05-26,Hoevewinkels en hoevetoerisme provincie Antwerpen  -  VLIF-steun
4443,2011867,vraagsteller,2026-05-26,Deeltijds kunstonderwijs (dko)  -  Dalend aantal leerlingen in de richting 'Woord'
2836,2011867,minister,2026-05-26,Deeltijds kunstonderwijs (dko)  -  Dalend aantal leerlingen in de richting 'Woord'
4443,2011866,vraagsteller,2026-05-26,Deeltijds kunstonderwijs (dko)  -  Dalend aantal leerlingen in de richting 'Woord'
4440,2011866,minister,2026-05-26,Deeltijds kunstonderwijs (dko)  -  Dalend aantal leerlingen in de richting 'Woord'
4443,2010289,vraagsteller,2026-05-26,Zwerfvuil en sluikstorten  -  Actualisatie
4430,2010289,minister,2026-05-26,Zwerfvuil en sluikstorten  -  Actualisatie
4443,2010283,vraagsteller,2026-05-26,Zwerfvuil- en sluikstortbeleid  -  Evaluatie
4430,2010283,minister,2026-05-26,Zwerfvuil- en sluikstortbeleid  -  Evaluatie
4443,2010271,vraagsteller,2026-05-26,Schoolgebouwen  -  Evaluatie subsidies
4440,2010271,minister,2026-05-26,Schoolgebouwen  -  Evaluatie subsidies
4425,2010143,vraagsteller,2026-05-26,Van huisonderwijs naar regulier onderwijs en vice versa  -  Evolutie leerlingenaantallen
4440,2010143,minister,2026-05-26,Van huisonderwijs naar regulier onderwijs en vice versa  -  Evolutie leerlingenaantallen
4425,2010128,vraagsteller,2026-05-26,Individueel huisonderwijs  -  Onderwijsinspectie
4440,2010128,minister,2026-05-26,Individueel huisonderwijs  -  Onderwijsinspectie
4409,2010031,vraagsteller,2026-05-26,Instituut voor Natuur- en Bosonderzoek (INBO) - Financiering
4430,2010031,minister,2026-05-26,Instituut voor Natuur- en Bosonderzoek (INBO) - Financiering
4628,2009857,vraagsteller,2026-05-26,VDAB  -  Proef- en pilootprojecten
4440,2009857,minister,2026-05-26,VDAB  -  Proef- en pilootprojecten
